00:B208  9E 7C  SUB.W   #$002C,D7                A0=0001B988 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=000000B0 D1=0001004C D2=00000002 D3=000000B0 D4=2A1BB080 D5=000000B0 D6=00000080 D7=0000002D xNzvC
00:B20C  33 C7  MOVE.w  D7,($00FF81A2)           A0=0001B988 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=000000B0 D1=0001004C D2=00000002 D3=000000B0 D4=2A1BB080 D5=000000B0 D6=00000080 D7=00000001 xnzvc
00:B212  60 00  BRA     #$FFFFD57C [00:8790]     A0=0001B988 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=000000B0 D1=0001004C D2=00000002 D3=000000B0 D4=2A1BB080 D5=000000B0 D6=00000080 D7=00000001 xnzvc

; ==========================================================================
; ##########################################################################
; ==========================================================================

00:8790  30 39  MOVE.w  ($00FF81A2),D0           A0=0001B988 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=000000B0 D1=0001004C D2=00000002 D3=000000B0 D4=2A1BB080 D5=000000B0 D6=00000080 D7=00000001 xnzvc
00:8796  C0 7C  AND.W   #$00FF,D0                A0=0001B988 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000B0 D4=2A1BB080 D5=000000B0 D6=00000080 D7=00000001 xnzvc
00:879A  67 00  BEQ     #$002C [00:87C8]         A0=0001B988 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000B0 D4=2A1BB080 D5=000000B0 D6=00000080 D7=00000001 xnzvc
00:879E  61 00  BSR     #$002A [00:87CA]         A0=0001B988 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000B0 D4=2A1BB080 D5=000000B0 D6=00000080 D7=00000001 xnzvc

