00:B222  9E 7C  SUB.W   #$003C,D7                A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=000000C0 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=0000003D xNzvC
00:B226  4E F9  JMP     ($0000A602)              A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=000000C0 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xnzvc


00:A602  30 39  MOVE.w  ($00FF806E),D0           A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=000000C0 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xnzvc
00:A608  B0 7C  CMP.W   #$0006,D0                A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xnzvc
00:A60C  67 00  BEQ     #$005A [00:A668]         A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xNzvC
00:A610  B0 7C  CMP.W   #$000B,D0                A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xNzvC
00:A614  66 00  BNE     #$0012 [00:A628]         A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xNzvC
00:A628  B0 7C  CMP.W   #$0010,D0                A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xNzvC
00:A62C  67 00  BEQ     #$00A6 [00:A6D4]         A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xNzvC
00:A630  B0 7C  CMP.W   #$0011,D0                A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xNzvC
00:A634  66 00  BNE     #$000E [00:A644]         A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xNzvC
00:A644  B0 7C  CMP.W   #$0007,D0                A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xNzvC
00:A648  67 00  BEQ     #$0044 [00:A68E]         A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xNzvC
00:A64C  B0 7C  CMP.W   #$000B,D0                A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xNzvC
00:A650  67 00  BEQ     #$003C [00:A68E]         A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xNzvC
00:A654  B0 7C  CMP.W   #$0011,D0                A0=0001B968 A1=00FF8A00 A2=00C00004 A3=00FF8342 A4=00FF807A A5=00FF806E A6=0000A4A0 A7=FFFFFFFC D0=00000001 D1=0001004C D2=00000002 D3=000000C0 D4=2A1BC080 D5=000000C0 D6=00000080 D7=00000001 xNzvC
